,dataset,model,algorithm,fold,metric,value
305,Permeability,PhysChem,random-forest,1,R2,0.498495172031602
306,Permeability,PhysChem,random-forest,2,MAE,0.36251736609685603
307,Permeability,PhysChem,random-forest,2,RMSE,0.4735847316266075
308,Permeability,PhysChem,random-forest,2,R2,0.4967958363838926
309,Permeability,PhysChem,random-forest,3,MAE,0.3884319147510038
310,Permeability,PhysChem,random-forest,3,RMSE,0.509131706220805
311,Permeability,PhysChem,random-forest,3,R2,0.45988936456853624
312,Permeability,PhysChem,random-forest,4,MAE,0.3758131725987146
313,Permeability,PhysChem,random-forest,4,RMSE,0.49115648939824974
314,Permeability,PhysChem,random-forest,4,R2,0.4992292107776517
315,Permeability,MolBERT,linear,0,MAE,0.40761982079906045
316,Permeability,MolBERT,linear,0,RMSE,0.5231585877252923
317,Permeability,MolBERT,linear,0,R2,0.37035775984538244
318,Permeability,MolBERT,linear,1,MAE,0.4416138193049362
319,Permeability,MolBERT,linear,1,RMSE,0.5731070117780317
320,Permeability,MolBERT,linear,1,R2,0.3725786276538714
321,Permeability,MolBERT,linear,2,MAE,0.40583815520510785
322,Permeability,MolBERT,linear,2,RMSE,0.530246977313307
323,Permeability,MolBERT,linear,2,R2,0.36918030470483676
324,Permeability,MolBERT,linear,3,MAE,0.41271479076003237
325,Permeability,MolBERT,linear,3,RMSE,0.5336807072249605
326,Permeability,MolBERT,linear,3,R2,0.4065482043339276
327,Permeability,MolBERT,linear,4,MAE,0.4077662202736894
328,Permeability,MolBERT,linear,4,RMSE,0.5350010684145554
329,Permeability,MolBERT,linear,4,R2,0.40583301919316495
330,Permeability,MolBERT,svm,0,MAE,0.3056396421431845
331,Permeability,MolBERT,svm,0,RMSE,0.40464248609758335
332,Permeability,MolBERT,svm,0,R2,0.6233221364447333
333,Permeability,MolBERT,svm,1,MAE,0.36253315163037586
334,Permeability,MolBERT,svm,1,RMSE,0.47518254017979306
335,Permeability,MolBERT,svm,1,R2,0.5686708455037994
336,Permeability,MolBERT,svm,2,MAE,0.3213197337726901
337,Permeability,MolBERT,svm,2,RMSE,0.43197004419494434
338,Permeability,MolBERT,svm,2,R2,0.5813451728525341
339,Permeability,MolBERT,svm,3,MAE,0.3312334766162251
340,Permeability,MolBERT,svm,3,RMSE,0.43729437693871676
341,Permeability,MolBERT,svm,3,R2,0.6015533060119775
342,Permeability,MolBERT,svm,4,MAE,0.322029682235667
343,Permeability,MolBERT,svm,4,RMSE,0.43868709316324445
344,Permeability,MolBERT,svm,4,R2,0.6005072255115491
345,Permeability,MolBERT,random-forest,0,MAE,0.3641657751884121
346,Permeability,MolBERT,random-forest,0,RMSE,0.4688103402419257
347,Permeability,MolBERT,random-forest,0,R2,0.49438319258433006
348,Permeability,MolBERT,random-forest,1,MAE,0.4097529973805871
349,Permeability,MolBERT,random-forest,1,RMSE,0.5223885295855171
350,Permeability,MolBERT,random-forest,1,R2,0.4787151191089919
351,Permeability,MolBERT,random-forest,2,MAE,0.37766669304621214
352,Permeability,MolBERT,random-forest,2,RMSE,0.4806601406358715
353,Permeability,MolBERT,random-forest,2,R2,0.48164766442578333
354,Permeability,MolBERT,random-forest,3,MAE,0.38575212446827656
355,Permeability,MolBERT,random-forest,3,RMSE,0.48886538460869894
356,Permeability,MolBERT,random-forest,3,R2,0.5020324809580928
357,Permeability,MolBERT,random-forest,4,MAE,0.3877821557623062
358,Permeability,MolBERT,random-forest,4,RMSE,0.4993086577246239
359,Permeability,MolBERT,random-forest,4,R2,0.48246776211540254
360,hPPB,ECFP4,linear,0,MAE,0.5964015588839245
361,hPPB,ECFP4,linear,0,RMSE,0.7736715986090352
362,hPPB,ECFP4,linear,0,R2,0.23347181740566103
363,hPPB,ECFP4,linear,1,MAE,0.44225658975838417
364,hPPB,ECFP4,linear,1,RMSE,0.5702256894325114
365,hPPB,ECFP4,linear,1,R2,0.34719655659050463
366,hPPB,ECFP4,linear,2,MAE,0.6300633956855627
367,hPPB,ECFP4,linear,2,RMSE,0.7896806339502046
368,hPPB,ECFP4,linear,2,R2,0.09191816379621731
369,hPPB,ECFP4,linear,3,MAE,0.5654710596048548
370,hPPB,ECFP4,linear,3,RMSE,0.7821057033285899
371,hPPB,ECFP4,linear,3,R2,0.3112243938628313
372,hPPB,ECFP4,linear,4,MAE,0.5811446932044679
373,hPPB,ECFP4,linear,4,RMSE,0.6986857552628966
374,hPPB,ECFP4,linear,4,R2,0.2709705083831272
375,hPPB,ECFP4,svm,0,MAE,0.5896849476854823
376,hPPB,ECFP4,svm,0,RMSE,0.7219077837653087
377,hPPB,ECFP4,svm,0,R2,0.3326121937170926
378,hPPB,ECFP4,svm,1,MAE,0.4324077517396566
379,hPPB,ECFP4,svm,1,RMSE,0.5357896218424917
380,hPPB,ECFP4,svm,1,R2,0.4236617109258869
