,objective,dataset,algorithm,da,train_size,fold,metric,value
373,mtr,RLM,svm,CL,0,2,RMSE,0.6840409074481802
374,mtr,RLM,svm,CL,0,2,R2,-0.1852759997080002
375,mtr,RLM,svm,MTR,0,2,MAE,0.4561591260682996
376,mtr,RLM,svm,MTR,0,2,RMSE,0.5653604720044222
377,mtr,RLM,svm,MTR,0,2,R2,0.1903334016009953
378,mtr,RLM,svm,No DA,0,3,MAE,0.5185173706858208
379,mtr,RLM,svm,No DA,0,3,RMSE,0.6226076178672143
380,mtr,RLM,svm,No DA,0,3,R2,0.0967616966396563
381,mtr,RLM,svm,No DA,30,3,MAE,0.403120467278915
382,mtr,RLM,svm,No DA,30,3,RMSE,0.5101138955525993
383,mtr,RLM,svm,No DA,30,3,R2,0.3936717632550944
384,mtr,RLM,svm,No DA,60,3,MAE,0.4080247458195573
385,mtr,RLM,svm,No DA,60,3,RMSE,0.5152869564577527
386,mtr,RLM,svm,No DA,60,3,R2,0.3813118691023537
387,mtr,RLM,svm,No DA,100,3,MAE,0.4048069799683472
388,mtr,RLM,svm,No DA,100,3,RMSE,0.5138183736170814
389,mtr,RLM,svm,No DA,100,3,R2,0.3848334021068432
390,mtr,RLM,svm,MLM,0,3,MAE,0.5137389881161939
391,mtr,RLM,svm,MLM,0,3,RMSE,0.6246648833082183
